Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2017-01-19,1,1,138,4.9424,2.133333333,0:02:08
2017-01-20,1,1,157,5.7442,2.183333333,0:02:11
2017-01-26,1,1,115,3.6409,1.883333333,0:01:53
2017-02-04,1,-1,152,4.9997,1.966666667,0:01:58
2017-02-09,1,0,120,3.7187,1.85,0:01:51
2017-02-16,1,0,115,5.9278,3.083333333,0:03:05
2017-02-19,1,-1,152,8.2752,3.25,0:03:15
2017-02-20,1,1,115,5.1057,2.65,0:02:39
2017-02-21,1,0,135,7.1659,3.183333333,0:03:11
2017-03-02,1,3,228,8.6502,2.266666667,0:02:16
2017-03-07,1,3,161,10.9192,4.066666667,0:04:04
2017-03-12,1,0,151,9.0318,3.583333333,0:03:35
2017-03-15,1,1,159,13.7477,5.183333333,0:05:11
2017-03-25,1,1,176,9.0249,3.066666667,0:03:04
2017-03-30,1,0,104,6.9163,3.983333333,0:03:59
2017-04-06,1,1,149,6.9236,2.783333333,0:02:47
2017-04-09,1,1,165,6.7954,2.466666667,0:02:28
2017-04-18,1,0,139,7.3971,3.183333333,0:03:11
2017-04-19,1,0,150,9.9593,3.983333333,0:03:59
2017-04-22,1,1,148,7.3375,2.966666667,0:02:58
2017-04-29,1,-1,127,10.0887,4.75,0:04:45
2017-04-30,1,2,120,9.9261,4.95,0:04:57
2017-05-02,1,2,157,14.6408,5.583333333,0:05:35
2017-05-08,1,0,132,5.9386,2.683333333,0:02:41
2017-05-13,1,0,159,8.1361,3.066666667,0:03:04
2017-05-25,1,2,162,9.0733,3.35,0:03:21
2017-05-26,1,0,122,7.2708,3.566666667,0:03:34
2017-05-27,1,0,160,10.0124,3.75,0:03:45
2017-06-02,1,1,202,10.0548,2.983333333,0:02:59
2017-06-04,1,0,220,9.6986,2.633333333,0:02:38
2017-06-06,1,1,176,7.4596,2.533333333,0:02:32
2017-06-10,1,0,256,8.8544,2.066666667,0:02:04
2017-06-16,1,1,189,8.0807,2.55,0:02:33
2017-06-22,1,1,236,24.1415,6.133333333,0:06:08
2017-06-25,1,0,301,12.9556,2.566666667,0:02:34
2017-06-29,1,1,425,19.1383,2.7,0:02:42
2017-07-03,1,0,373,14.7017,2.35,0:02:21
2017-07-05,1,0,332,12.0304,2.166666667,0:02:10
2017-07-06,1,0,268,11.5604,2.583333333,0:02:35
2017-07-08,1,-1,223,9.9797,2.683333333,0:02:41
2017-07-10,1,0,170,6.7532,2.383333333,0:02:23
2017-07-11,1,-2,214,8.7417,2.45,0:02:27
2017-07-12,1,0,147,5.1584,2.1,0:02:06
2017-07-16,1,0,137,7.8652,3.433333333,0:03:26
2017-07-17,1,2,177,11.3139,3.833333333,0:03:50
2017-07-20,1,0,147,4.5698,1.85,0:01:51
2017-07-30,1,0,139,6.5248,2.8,0:02:48
2017-08-07,1,1,145,6.4284,2.65,0:02:39
2017-08-08,1,1,113,4.9219,2.6,0:02:36
2017-08-10,1,0,119,3.241,1.633333333,0:01:38
2017-08-13,1,0,140,6.8045,2.9,0:02:54
2017-08-15,1,0,118,3.3818,1.716666667,0:01:43
2017-08-16,1,0,123,5.9387,2.883333333,0:02:53
